name,alamat,num_invited,city,code,guesttype,desknumber,regnumber,note
,,,,7d6e1cd7-0564-4cdf-98f6-5b3668a747b4,reg,-,9001,none
,,,,90dfe256-b51c-4e04-9d1e-d057834c9458,reg,-,9002,none
,,,,98da63cd-c27c-4dfc-9339-39caa1fd2124,reg,-,9003,none
,,,,1aed0d9d-19f4-43b8-bb7a-13ad1f07756e,reg,-,9004,none
,,,,ec29f4de-f693-4197-be94-d354a25a64b4,reg,-,9005,none
,,,,5b1438ae-8c09-4a40-8aa4-b0d4c3915805,reg,-,9006,none
,,,,fcdc1e13-f843-4698-b113-69f9bd653874,reg,-,9007,none
,,,,86cdfc62-5824-4319-b6f1-b1f20ca161e6,reg,-,9008,none
,,,,2d4b862c-ce4a-49f0-a764-0177bff57fcf,reg,-,9009,none
,,,,2f971fa0-3f9a-4b4f-92af-ca62b6a85c2f,reg,-,9010,none
,,,,cf489b83-bc33-4206-82c5-034d33279a57,reg,-,9011,none
,,,,ff6427f1-7da7-4482-8eec-ee993f8a67b9,reg,-,9012,none
,,,,1317accf-b65f-4a29-aa52-84c572ef0639,reg,-,9013,none
,,,,c4eb4938-9c8e-4459-9077-ede9a2f98bae,reg,-,9014,none
,,,,c6d2993e-a1ad-46f2-9bd9-968e3971e8df,reg,-,9015,none
,,,,20476e22-785b-4dce-9e9c-4407461a52ec,reg,-,9016,none
,,,,41651068-1a87-42d6-9d48-419156a158dc,reg,-,9017,none
,,,,4bf32815-3a2e-4fa8-9166-e681805b79f1,reg,-,9018,none
,,,,fb6b15fa-7245-4ec1-b789-f4c5a49e3ecf,reg,-,9019,none
,,,,4f9cb631-d5b6-47a1-a595-288fedce2da8,reg,-,9020,none
,,,,e5796634-4396-460b-b307-68f6fdd19636,reg,-,9021,none
,,,,5a3fe1dc-84a9-4c93-8437-f6c41888149e,reg,-,9022,none
,,,,07e49423-7389-41b8-827c-c2ac22102041,reg,-,9023,none
,,,,364dc797-11d8-45f0-bcdb-c9ab8e6bde41,reg,-,9024,none
,,,,892f8627-0e41-4545-a1f6-0937c2bb05e0,reg,-,9025,none
,,,,f6261b1b-2f8a-4ee8-9c33-fd3f5dc2349c,reg,-,9026,none
,,,,11b50f6b-d11e-47be-9454-4ecb7f146c0f,reg,-,9027,none
,,,,95a4d958-2df9-476a-aced-15be7f80352e,reg,-,9028,none
